Referencia        CodPro Descricao do Produto            019 RESERVADO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
 
000194            000194 MASCARA ORATAPE MT52 PAPEL F99                            9455,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
000195            000195 MASCARA ORATAPE MT95 TRANSP F9                            8052,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
001712            001712 MASCARA ORATAPE MT95 TRANSP F9                            1027,500                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
001392            001392 VINIL ORACAL 6510 069 GREEN FL                             378,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
001501            001501 VINIL ORACAL 651M - 032 - FOSC                             252,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
001437            001437 VINIL ORAGUARD 215G 1,05 x 50m                           13072,500                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
000591            000591 VINIL ORAGUARD 215G 1,30 X 50                            24310,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
000597            000597 VINIL ORAGUARD 215G 1,37 x 50m                            9110,500                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
001704            001704 VINIL ORAGUARD 215G 1,52 50 F0                             912,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
001338            001338 VINIL ORAGUARD 215M 1,37 x 50m                            1986,500                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
000595            000595 VINIL ORAJET 3164G 000 1,26 X                              567,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
000598            000598 VINIL ORAJET 3164G 010 1,05 X                              420,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
001208            001208 VINIL ORAJET 3164GHT 010 1,37                              274,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
101130152M0010    000152 VINIL ORAJET 3164M 010 1,52 x                             3724,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
001722            001722 VINIL ORAJET 3164XGRA 010 1,37                             342,500                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
000975            000975 VINIL ORAJET 3640G 010 BRANCO                             1096,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
001452            001452 VINIL ORAJET 3640G 010 BRANCO                             1444,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
000159            000159 VINIL ORAJET 3641G 010 1,37 X                             1575,500                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
000167            000167 VINIL ORAJET 3651G 010 1,26 x                              252,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
000168            000168 VINIL ORAJET 3651G 010 1,37 x                             5411,500                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
000577            000577 VINIL ORALITE 5510 020 - 1,235                              61,750                                                                                                                                                                                                                                                                                                                                                                                                                                                                                

                         TOTAL GERAL                                              83724,250                                                                                                                                                                                                                                                                                                                                                                                                                                                                                









































