codpro;descricao;m2;familia_id
2;VINIL ORACAL 651M - 000 - FOSCO;63;113
3;VINIL ORACAL 651G - 010;63;113
4;VINIL ORACAL 651G - 047;63;113
5;VINIL ORACAL 651G - 049;63;113
6;VINIL ORACAL 651G - 043;63;113
7;VINIL ORACAL 651G - 045;63;113
8;VINIL ORACAL 651G - 050;63;113
9;VINIL ORACAL 651G - 023;63;113
10;VINIL ORACAL 651G - 020;63;113
11;VINIL ORACAL 651G - 019;63;113
12;VINIL ORACAL 651G - 025;63;113
13;VINIL ORACAL 651G - 026;63;113
14;VINIL ORACAL 651G - 030;63;113
15;VINIL ORACAL 651G - 031;63;113
16;VINIL ORACAL 651G - 021;63;113
17;VINIL ORACAL 651G - 032;63;113
18;VINIL ORACAL 651G - 035;63;113
19;VINIL ORACAL 651G - 036;63;113
20;VINIL ORACAL 651G - 040;63;113
21;VINIL ORACAL 651G - 041;63;113
22;VINIL ORACAL 651G - 042;63;113
23;VINIL ORACAL 651G - 051;63;113
24;VINIL ORACAL 651G - 052;63;113
25;VINIL ORACAL 651G - 053;63;113
26;VINIL ORACAL 651G - 054;63;113
27;VINIL ORACAL 651G - 055;63;113
28;VINIL ORACAL 651G - 056;63;113
29;VINIL ORACAL 651G - 057;63;113
30;VINIL ORACAL 651G - 060;63;113
31;VINIL ORACAL 651G - 061;63;113
32;VINIL ORACAL 651G - 062;63;113
33;VINIL ORACAL 651G - 063;63;113
34;VINIL ORACAL 651G - 064;63;113
35;VINIL ORACAL 651G - 065;63;113
36;VINIL ORACAL 651G - 066;63;113
37;VINIL ORACAL 651G - 067;63;113
38;VINIL ORACAL 651G - 068;63;113
39;VINIL ORACAL 651G - 070;63;113
40;VINIL ORACAL 651G - 071;63;113
41;VINIL ORACAL 651G - 072;63;113
42;VINIL ORACAL 651G - 073;63;113
43;VINIL ORACAL 651G - 074;63;113
44;VINIL ORACAL 651G - 076;63;113
45;VINIL ORACAL 651G - 080;63;113
46;VINIL ORACAL 651G - 081;63;113
47;VINIL ORACAL 651G - 082;63;113
48;VINIL ORACAL 651G - 083;63;113
49;VINIL ORACAL 651G - 084;63;113
50;VINIL ORACAL 651G - 086;63;113
51;VINIL ORACAL 651G - 098;63;113
52;VINIL ORACAL 651G - 312;63;113
53;VINIL ORACAL 651G - 404;63;113
54;VINIL ORACAL 651G - 518;63;113
55;VINIL ORACAL 651G - 562;63;113
56;VINIL ORACAL 651G - 613;63;113
57;VINIL ORACAL 651G - 000;63;113
58;VINIL ORACAL 651M - 010 - FOSCO;63;113
59;VINIL ORACAL 651M - 021 - FOSCO;63;113
60;VINIL ORACAL 651M - 030 - FOSCO;63;113
61;VINIL ORACAL 651M - 031 - FOSCO;63;113
62;VINIL ORACAL 651M - 034 INATIVO;63;113
